Time,,nome,numero,posicao,nacionalidade,foto,apiId,timeId
SE Palmeiras,,Weverton,21,Goleiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/69400-1547648498.jpg?lm=1,,1
SE Palmeiras,,Marcelo Lomba,14,Goleiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/53015-1523613416.jpg?lm=1,,1
SE Palmeiras,,Mateus,1,Goleiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/813121-1706119734.jpg?lm=1,,1
SE Palmeiras,,Murilo,26,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/458710-1642081312.png?lm=1,,1
SE Palmeiras,,Gustavo Gómez ,15,Zagueiro,Paraguai,https://img.a.transfermarkt.technology/portrait/medium/215390-1687967123.jpg?lm=1,,1
SE Palmeiras,,Micael,13,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/867847-1709581106.jpg?lm=1,,1
SE Palmeiras,,Bruno Fuchs,3,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/563692-1629034685.png?lm=1,,1
SE Palmeiras,,Naves,34,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/964591-1670983137.jpg?lm=1,,1
SE Palmeiras,,Luis Benedetti,43,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/default.jpg?lm=1,,1
SE Palmeiras,,Joaquín Piquerez,22,Lateral Esquerdo,Uruguai,https://img.a.transfermarkt.technology/portrait/medium/496268-1706144655.jpg?lm=1,,1
SE Palmeiras,,Vanderlan,6,Lateral Esquerdo,Brasil,https://img.a.transfermarkt.technology/portrait/medium/816129-1658806524.jpg?lm=1,,1
SE Palmeiras,,Agustín Giay,4,Lateral Direito,Argentina,https://img.a.transfermarkt.technology/portrait/medium/849582-1684910869.jpg?lm=1,,1
SE Palmeiras,,Mayke ,12,Lateral Direito,Brasil,https://img.a.transfermarkt.technology/portrait/medium/147361-1461926352.jpg?lm=1,,1
SE Palmeiras,,Marcos Rocha,2,Lateral Direito,Brasil,https://img.a.transfermarkt.technology/portrait/medium/75435-1543836089.jpg?lm=1,,1
SE Palmeiras,,Aníbal Moreno,5,Volante,Argentina,https://img.a.transfermarkt.technology/portrait/medium/642758-1694004255.JPG?lm=1,,1
SE Palmeiras,,Emiliano Martínez,32,Volante,Uruguai,https://img.a.transfermarkt.technology/portrait/medium/707447-1720681061.jpg?lm=1,,1
SE Palmeiras,,Richard Ríos,8,Meia Central,Colômbia,https://img.a.transfermarkt.technology/portrait/medium/735573-1721090544.jpg?lm=1,,1
SE Palmeiras,,Lucas Evangelista ,30,Meia Central,Brasil,https://img.a.transfermarkt.technology/portrait/medium/270188-1582120817.png?lm=1,,1
SE Palmeiras,,Figueiredo,38,Meia Central,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1004736-1680450706.jpg?lm=1,,1
SE Palmeiras,,Raphael Veiga ,23,Meia Ofensivo,Brasil,https://img.a.transfermarkt.technology/portrait/medium/432953-1706144797.jpg?lm=1,,1
SE Palmeiras,,Mauricio,18,Meia Ofensivo,Brasil,https://img.a.transfermarkt.technology/portrait/medium/678439-1662317819.jpg?lm=1,,1
SE Palmeiras,,Allan,40,Meia Ofensivo,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1082631-1670979249.jpg?lm=1,,1
SE Palmeiras,,Paulinho,10,Ponta Esquerda,Brasil,https://img.a.transfermarkt.technology/portrait/medium/428791-1658913690.jpg?lm=1,,1
SE Palmeiras,,Felipe Anderson,7,Ponta Esquerda,Brasil,https://img.a.transfermarkt.technology/portrait/medium/159372-1692963183.jpg?lm=1,,1
SE Palmeiras,,Bruno Rodrigues ,11,Ponta Esquerda,Brasil,https://img.a.transfermarkt.technology/portrait/medium/406766-1661905719.jpg?lm=1,,1
SE Palmeiras,,Estêvão,41,Ponta Direita,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1056993-1731657826.jpg?lm=1,,1
SE Palmeiras,,Facundo Torres,17,Ponta Direita,Uruguai,https://img.a.transfermarkt.technology/portrait/medium/465822-1711186881.jpg?lm=1,,1
SE Palmeiras,,Vitor Roque,9,Centroavante,Brasil,https://img.a.transfermarkt.technology/portrait/medium/943837-1744743482.jpg?lm=1,,1
SE Palmeiras,,José Manuel López,42,Centroavante,Argentina,https://img.a.transfermarkt.technology/portrait/medium/844797-1739618753.jpg?lm=1,,1
SE Palmeiras,,Luighi,31,Centroavante,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1158001-1697290914.jpg?lm=1,,1
SE Palmeiras,,Thalys,39,Centroavante,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1072157-1680449274.jpg?lm=1,,1
CR Flamengo,,Agustín Rossi,1,Goleiro,Argentina,https://img.a.transfermarkt.technology/portrait/medium/352324-1633537886.JPG?lm=1,,1
CR Flamengo,,Matheus Cunha,25,Goleiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/876739-1725326716.jpg?lm=1,,1
CR Flamengo,,Dyogo Alves,49,Goleiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/1082543-1725327039.jpg?lm=1,,1
CR Flamengo,,Léo Ortiz,3,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/374136-1726495070.jpeg?lm=1,,1
CR Flamengo,,Léo Pereira,4,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/288431-1744287593.jpg?lm=1,,1
CR Flamengo,,Danilo,13,Zagueiro,Brasil,https://img.a.transfermarkt.technology/portrait/medium/145707-1663577215.jpg?lm=1,,1
